Aryan Dutt,3,0,23,1,7.66,5,1,1,1,0
Logan van Beek,4,0,45,2,11.25,8,1,4,2,0
Paul van Meekeren,3,0,37,1,12.33,4,3,2,2,0
Tim Pringle,4,0,41,1,10.25,3,3,2,0,0
Bas de Leede,3,0,32,0,10.66,5,1,2,0,0
Angelo Mathews,2,0,20,0,10.00,7,0,2,1,1
Nuwan Thushara,3.4,0,24,3,6.54,11,2,1,2,0
Maheesh Theekshana,3,0,25,1,8.33,7,1,2,1,0
Wanindu Hasaranga,4,0,25,2,6.25,10,1,1,0,0
Dasun Shanaka,1,0,10,1,10.00,1,1,0,0,0
Matheesha Pathirana,3,0,12,2,4.00,10,0,0,1,0
Trent Boult,4,0,14,2,3.50,16,2,0,0,0,
Tim Southee,4,0,11,2,2.75,18,1,0,2,0,
Lockie Ferguson,4,4,0,3,0.00,24,0,0,0,0,
Ish Sodhi,3.4,0,29,2,7.90,9,3,1,1,0,
Mitchell Santner,4,0,17,1,4.25,14,1,0,1,0,
Kabua Morea,2.2,0,4,2,1.71,11,0,0,0,0
Alei Nao,3,0,22,0,7.33,9,1,2,0,0
Assad Vala,1,0,4,0,4.00,2,0,0,0,0
Charles Amini,1,0,5,0,5.00,1,0,0,0,0
Semo Kamea,3,0,23,1,7.66,8,4,0,0,0
Chad Soper,1,0,14,0,14.00,2,1,1,0,0
